Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2020-03-19,48.5,50.6,50.7,47.72,82.65,5.7
2020-03-18,50,47.87,51.4,47,102.11,-3.21
2020-03-17,49.64,49.46,51.5,47.5,142.47,3.04
2020-03-16,45.69,48,49.3,42.67,133.89,5.08
2020-03-13,44.4,45.68,51.38,43.42,130.25,-11.16
2020-03-12,51.42,51.42,51.42,51.42,0,0
2020-03-11,51.42,51.42,51.42,51.42,0,0
2020-03-10,55.86,51.42,56.28,51.06,117.25,-5.2
2020-03-09,50,54.24,56.12,49.28,168.71,-0.18
2020-03-06,56.26,54.34,56.5,53.52,97.94,-4.43
2020-03-05,60.4,56.86,60.6,56.56,100.88,-3.69
2020-03-04,62,59.04,62,59.04,101.87,-5.17
2020-03-03,61.8,62.26,62.8,60.62,111.84,2.81
2020-03-02,61.5,60.56,62.2,59.56,123.89,3.27
2020-02-28,59.5,58.64,59.76,55.04,176.92,-3.71
2020-02-27,66.16,60.9,66.62,59.7,87,-8.56
2020-02-26,68.28,66.6,68.64,65.9,101.74,-2.52
2020-02-25,69.8,68.32,70.28,68.3,98.39,-2.12
2020-02-24,72.1,69.8,72.32,69.38,72.14,-4.77
2020-02-21,72.54,73.3,73.72,72.44,62.63,0.58
2020-02-20,73.5,72.88,73.72,72.5,95.04,-0.76
2020-02-19,75.5,73.44,75.78,73.26,119.2,-2.73
2020-02-18,75,75.5,76.46,74.8,92.64,-0.4
2020-02-17,76.78,75.8,77.1,75.52,28.06,-0.26
2020-02-14,75,76,76.66,75,105.54,1.9
2020-02-13,74.4,74.58,74.58,72.7,45.83,0.19
2020-02-12,74,74.44,74.76,73.32,83.83,0.76
2020-02-11,72.5,73.88,74,70.98,172.49,1.82
2020-02-10,74.14,72.56,74.26,72.04,118.59,-2.94
2020-02-07,73.9,74.76,74.76,72.8,58.78,1.16
2020-02-06,76.88,73.9,77.68,73.82,72,-3.55
2020-02-05,74.5,76.62,76.84,73.9,95.33,2.93
2020-02-04,73.56,74.44,75,73.3,79.19,1.97
2020-02-03,75.48,73,75.6,71.82,146.5,-3.52
2020-01-31,76,75.66,76.12,74.52,126.05,-0.45
2020-01-30,76,76,77.98,74.8,148.67,-4.14
2020-01-29,81.9,79.28,82.16,78.72,125.36,-2.87
2020-01-28,83,81.62,83.22,81.18,122.99,-1.16
2020-01-27,84.8,82.58,85.46,82.58,81.77,-3.44
2020-01-24,85.86,85.52,86.5,85.52,50.67,0.05
2020-01-23,84.9,85.48,86.78,84.9,125.63,0.56
2020-01-22,85.72,85,86,85,55.28,0.07
2020-01-21,85.64,84.94,86.2,84.86,70.04,-0.93
2020-01-20,85.76,85.74,86.24,85.72,40.98,-0.58
2020-01-17,85,86.24,86.6,85,60.78,0.77
2020-01-16,85.42,85.58,86,84.82,89.73,0.59
2020-01-15,85.02,85.08,85.66,84.66,191.57,-0.35
2020-01-14,86.02,85.38,86.44,84.54,202.74,-1.09
2020-01-13,85.98,86.32,86.44,85.44,120.26,1.03
2020-01-10,85,85.44,85.54,84.52,54.76,0.92
2020-01-09,82.7,84.66,84.7,82.3,102.7,3.83
2020-01-08,82.02,81.54,82.64,81.3,64.79,-0.92
2020-01-07,85.88,82.3,85.98,82.16,129.4,-3.99
2020-01-03,86.5,85.72,86.64,84.8,62.49,-1.43
2020-01-02,86.5,86.96,87.28,85.7,55.86,1.33
2019-12-31,85.82,85.82,85.82,85.82,0,0
2019-12-30,85.98,85.82,86.4,85.24,37.16,-0.14
2019-12-27,85.48,85.94,86.5,85.48,30.83,0.94
2019-12-24,85.14,85.14,85.14,85.14,0,0
2019-12-23,84.28,85.14,85.64,84.26,42.59,1.24
2019-12-20,85.46,84.1,85.88,83.9,151.01,-1.45
2019-12-19,84.4,85.34,85.4,84.24,70.07,1.23
2019-12-18,84.9,84.3,85.08,83.62,58.75,-0.28
2019-12-17,83.7,84.54,84.92,83.26,82.56,1.05
2019-12-16,85.8,83.66,85.8,83.62,65.01,-2.33
2019-12-13,84.62,85.66,85.98,84.06,97.58,2.02
2019-12-12,82,83.96,84,81.46,100.34,2.92
2019-12-11,81.36,81.58,82.6,80.72,57.68,0.74
2019-12-10,81.88,80.98,81.9,79.5,98.94,-0.98
2019-12-09,82.3,81.78,82.6,80.5,75.06,-0.41
2019-12-06,79.9,82.12,83.62,77.6,281.53,-6.3
2019-12-05,88.52,87.64,89.42,87.16,67.36,-0.97
2019-12-04,89.92,88.5,90.94,87.84,54.43,-0.85
2019-12-03,91.02,89.26,91.38,89.2,58.73,-2.43
2019-12-02,93.62,91.48,93.62,90.2,84.49,-1.53
2019-11-29,92.36,92.9,92.9,92.18,47.39,0.58
2019-11-28,93,92.36,93.24,92.04,32.27,-0.69
2019-11-27,93.62,93,94.04,92.26,61.64,-0.47
2019-11-26,94.4,93.44,94.54,93.18,160.13,-0.81
2019-11-25,94.12,94.2,95.74,93.88,88.11,0
2019-11-22,94.04,94.2,95.5,93.8,62.49,0.06
2019-11-21,96,94.14,96,93.8,71.7,-2.75
2019-11-20,97,96.8,97.18,93.08,148.78,-0.45
2019-11-19,100.95,97.24,101.45,97.02,108.53,-4.24
2019-11-18,102.25,101.55,103,100.6,51.95,-0.73
2019-11-15,101.9,102.3,103.85,101.45,69.28,0.24
2019-11-14,102.3,102.05,103,101.05,54.83,-0.39
2019-11-13,102.4,102.45,102.75,100.8,63.45,0.39
2019-11-12,105.8,102.05,105.9,100.85,115.13,-3.27
2019-11-08,105.35,105.5,106.35,104.9,75.93,-0.33
2019-11-07,108.3,105.85,108.65,105.3,67.38,-1.53
2019-11-06,107.9,107.5,109,107,48.09,-1.42
2019-11-05,107.95,109.05,109.05,107.25,60.92,0.65
2019-11-04,105.6,108.35,108.35,104.65,77.68,3.78
2019-10-31,106.8,104.4,106.8,103.1,84.69,-1.69
2019-10-30,106.1,106.2,106.5,104.7,47.55,-0.28
2019-10-29,105.6,106.5,106.6,104.8,81.23,0.85
2019-10-28,103.35,105.6,106.1,103.35,47.96,2.67
2019-10-25,103.6,102.85,104.4,102.7,50.73,-1.06
2019-10-24,106.5,103.95,107.35,102.55,105.95,-3.75
2019-10-23,107,108,108.5,106.75,95.62,0.14
2019-10-22,106.4,107.85,107.9,105.55,87.79,1.41
2019-10-21,104.3,106.35,107.2,103.7,115.23,1.77
2019-10-18,102.2,104.5,104.85,101.75,65.96,1.9
2019-10-17,102.8,102.55,102.9,101.05,33.79,0.49
2019-10-16,101,102.05,103.15,100.85,50.7,0.64
2019-10-15,101.85,101.4,101.9,100.5,47.85,0.3
2019-10-14,101.95,101.1,101.95,100.75,86.33,-0.54
2019-10-11,101.65,101.65,102.5,100.65,34.36,-0.29
2019-10-10,102.8,101.95,102.85,100.55,40.12,-1.02
2019-10-09,102.8,103,103.45,101.5,51.75,0.44
2019-10-08,100.7,102.55,102.55,100.35,62.05,1.74
2019-10-07,102,100.8,102,100.15,37.76,-1.08
2019-10-04,99.8,101.9,102.7,99.8,99.36,2.31
2019-10-03,96.84,99.6,100.3,96.84,89.81,1.86
